id,complaint,category,priority,date,source,sentiment,customer_id,region
1,I was charged twice for my subscription of $49.99. Please refund the duplicate charge.,Billing,Medium,2026-05-05,sample_data,positive,CUST4298,ASIA
2,I was charged twice for my subscription of $49.99. Please refund the duplicate charge.,Billing,Medium,2026-05-05,sample_data,positive,CUST7867,ASIA
3,I cannot log into my account. The password reset email never arrives.,Account,Medium,2026-05-05,sample_data,negative,CUST7911,US
4,The watch application crashes every time I try to make a payment. This is very frustrating.,Billing,Medium,2026-05-05,sample_data,positive,CUST8630,EU
5,Why was I charged a $50 late fee? I paid my bill on time.,Billing,Medium,2026-05-05,sample_data,negative,CUST9632,US
6,I cannot log into my account. The password reset email never arrives.,Account,Medium,2026-05-05,sample_data,neutral,CUST2958,US
7,I was charged twice for my subscription of $29.99. Please refund the duplicate charge.,Billing,Medium,2026-05-05,sample_data,neutral,CUST8781,UK
8,I've been on hold for 94 minutes. No one is answering.,Customer Service,Medium,2026-05-05,sample_data,positive,CUST9043,EU
9,I've been on hold for 92 minutes. No one is answering.,Customer Service,Medium,2026-05-05,sample_data,positive,CUST6064,UK
10,Customer support was extremely rude and disconnected the call after 110 minutes.,Customer Service,Medium,2026-05-05,sample_data,negative,CUST3865,UK
11,The website keeps timing out when I try to checkout my shopping cart.,Technical,Medium,2026-05-05,sample_data,positive,CUST2862,EU
12,Customer support was extremely rude and disconnected the call after 83 minutes.,Customer Service,Medium,2026-05-05,sample_data,neutral,CUST8162,ASIA
13,The product arrived damaged. The box was crushed and contents broken.,Shipping,Medium,2026-05-05,sample_data,neutral,CUST8603,EU
14,Customer support was extremely rude and disconnected the call after 28 minutes.,Customer Service,Medium,2026-05-05,sample_data,neutral,CUST9539,EU
15,The app update broke everything. Now nothing works.,Technical,Medium,2026-05-05,sample_data,positive,CUST9142,UK
16,Driver delivered my package to the wrong address. I provided correct address.,Shipping,Medium,2026-05-05,sample_data,neutral,CUST5562,UK
17,The phone application crashes every time I try to make a payment. This is very frustrating.,Billing,Medium,2026-05-05,sample_data,negative,CUST3355,ASIA
18,The app update broke everything. Now nothing works.,Technical,Medium,2026-05-05,sample_data,positive,CUST2051,OTHER
19,The product arrived damaged. The box was crushed and contents broken.,Shipping,Medium,2026-05-05,sample_data,negative,CUST5371,EU
20,Driver delivered my package to the wrong address. I provided correct address.,Shipping,Medium,2026-05-05,sample_data,positive,CUST1698,UK
